Glon Glat Vlsr Dgc azimuth Dsun
1.300000000000000000e+01 -3.220000000000000084e-01 4.472000000000000419e+00 3.533999999999999808e+00 1.812099999999999866e+01 4.886000000000000121e+00
1.200000000000000000e+01 -3.119999999999999996e-01 4.472000000000000419e+00 3.527000000000000135e+00 1.659600000000000009e+01 4.846000000000000085e+00
1.100000000000000000e+01 -3.360000000000000209e-01 2.220000000000000029e-01 3.520000000000000018e+00 1.510999999999999943e+01 4.809999999999999609e+00
1.000000000000000000e+01 -2.570000000000000062e-01 -1.111100000000000065e+01 3.513999999999999790e+00 1.365799999999999947e+01 4.777999999999999581e+00
9.000000000000000000e+00 -1.130000000000000032e-01 -1.428700000000000081e+01 3.508000000000000007e+00 1.223199999999999932e+01 4.751000000000000334e+00
8.000000000000000000e+00 -1.130000000000000032e-01 -1.795200000000000173e+01 3.500999999999999890e+00 1.083099999999999952e+01 4.727000000000000313e+00
7.000000000000000000e+00 -1.300000000000000044e-01 -2.158099999999999952e+01 3.495000000000000107e+00 9.448000000000000398e+00 4.706999999999999851e+00
6.000000000000000000e+00 -1.320000000000000062e-01 -2.457700000000000173e+01 3.488999999999999879e+00 8.080000000000000071e+00 4.690999999999999837e+00
5.000000000000000000e+00 9.299999999999999933e-02 -2.817699999999999960e+01 3.483000000000000096e+00 6.724000000000000199e+00 4.679000000000000270e+00
4.000000000000000000e+00 -1.089999999999999997e-01 -3.275300000000000011e+01 3.476999999999999869e+00 5.376000000000000334e+00 4.669999999999999929e+00
3.000000000000000000e+00 -1.509999999999999953e-01 -4.015800000000000125e+01 3.471000000000000085e+00 4.033000000000000362e+00 4.663999999999999702e+00
2.000000000000000000e+00 -1.199999999999999956e-01 -4.527100000000000080e+01 3.464999999999999858e+00 2.692000000000000171e+00 4.661999999999999922e+00
1.000000000000000000e+00 -1.429999999999999882e-01 -4.914099999999999824e+01 3.459000000000000075e+00 1.348000000000000087e+00 4.663000000000000256e+00
1.000000000000000056e-01 1.000000000000000021e-03 -5.235300000000000153e+01 3.454000000000000181e+00 1.350000000000000089e-01 4.666000000000000369e+00
3.590000000000000000e+02 -1.559999999999999998e-01 -5.356600000000000250e+01 3.447000000000000064e+00 -1.356000000000000094e+00 4.674999999999999822e+00
3.580000000000000000e+02 4.800000000000000100e-02 -5.550099999999999767e+01 3.440999999999999837e+00 -2.724000000000000199e+00 4.685999999999999943e+00
3.570000000000000000e+02 1.680000000000000104e-01 -6.573399999999999466e+01 3.435000000000000053e+00 -4.107000000000000206e+00 4.700000000000000178e+00
3.560000000000000000e+02 2.300000000000000100e-01 -7.363800000000000523e+01 3.428999999999999826e+00 -5.509000000000000341e+00 4.719000000000000306e+00
3.550000000000000000e+02 2.340000000000000135e-01 -7.942700000000000671e+01 3.422000000000000153e+00 -6.934000000000000163e+00 4.740999999999999659e+00
3.540000000000000000e+02 2.000000000000000111e-01 -8.451000000000000512e+01 3.415999999999999925e+00 -8.385999999999999233e+00 4.767000000000000348e+00
3.530000000000000000e+02 2.320000000000000118e-01 -8.545699999999999363e+01 3.410000000000000142e+00 -9.871999999999999886e+00 4.796999999999999709e+00
3.520000000000000000e+02 3.340000000000000191e-01 -9.273300000000000409e+01 3.403000000000000025e+00 -1.139600000000000080e+01 4.831000000000000405e+00
3.510000000000000000e+02 4.680000000000000271e-01 -1.006119999999999948e+02 3.395999999999999908e+00 -1.296400000000000041e+01 4.870000000000000107e+00
3.500000000000000000e+02 2.530000000000000027e-01 -1.066059999999999945e+02 3.388999999999999790e+00 -1.458600000000000030e+01 4.915000000000000036e+00
3.490000000000000000e+02 2.839999999999999747e-01 -1.117999999999999972e+02 3.382000000000000117e+00 -1.626800000000000068e+01 4.964999999999999858e+00
3.480000000000000000e+02 4.550000000000000155e-01 -1.171970000000000027e+02 3.374000000000000110e+00 -1.802299999999999969e+01 5.020999999999999908e+00
3.470000000000000000e+02 3.539999999999999813e-01 -1.194969999999999999e+02 3.366000000000000103e+00 -1.986299999999999955e+01 5.083999999999999631e+00
3.460000000000000000e+02 2.369999999999999885e-01 -1.183020000000000067e+02 3.358000000000000096e+00 -2.180499999999999972e+01 5.155999999999999694e+00
3.450000000000000000e+02 2.479999999999999982e-01 -1.220150000000000006e+02 3.349000000000000199e+00 -2.386899999999999977e+01 5.235999999999999766e+00
