Glon Glat Vlsr Dgc azimuth Dsun
1.700000000000000000e+01 5.041999999999999815e+00 4.868999999999999773e+00 8.092000000000000526e+00 5.380000000000000338e-01 2.600000000000000089e-01
1.800000000000000000e+01 5.041999999999999815e+00 4.868999999999999773e+00 8.092999999999999972e+00 5.689999999999999503e-01 2.600000000000000089e-01
1.900000000000000000e+01 5.041999999999999815e+00 5.498000000000000220e+00 8.095000000000000639e+00 5.989999999999999769e-01 2.600000000000000089e-01
2.000000000000000000e+01 5.041999999999999815e+00 6.073000000000000398e+00 8.096000000000000085e+00 6.290000000000000036e-01 2.600000000000000089e-01
2.100000000000000000e+01 5.041999999999999815e+00 6.544999999999999929e+00 8.098000000000000753e+00 6.590000000000000302e-01 2.600000000000000089e-01
2.200000000000000000e+01 4.902999999999999581e+00 6.709999999999999964e+00 8.099999999999999645e+00 6.889999999999999458e-01 2.600000000000000089e-01
2.300000000000000000e+01 4.735000000000000320e+00 6.594000000000000306e+00 8.101000000000000867e+00 7.189999999999999725e-01 2.600000000000000089e-01
2.400000000000000000e+01 4.565999999999999837e+00 6.645999999999999908e+00 8.102999999999999758e+00 7.479999999999999982e-01 2.600000000000000089e-01
2.500000000000000000e+01 4.397999999999999687e+00 6.746999999999999886e+00 8.105000000000000426e+00 7.770000000000000240e-01 2.600000000000000089e-01
2.600000000000000000e+01 4.072000000000000064e+00 6.983999999999999986e+00 8.106999999999999318e+00 8.060000000000000497e-01 2.600000000000000089e-01
2.700000000000000000e+01 3.740000000000000213e+00 7.331000000000000405e+00 8.108999999999999986e+00 8.339999999999999636e-01 2.600000000000000089e-01
2.800000000000000000e+01 3.523000000000000131e+00 7.802999999999999936e+00 8.111000000000000654e+00 8.619999999999999885e-01 2.600000000000000089e-01
2.900000000000000000e+01 3.482000000000000206e+00 8.151999999999999247e+00 8.114000000000000767e+00 8.900000000000000133e-01 2.600000000000000089e-01
3.000000000000000000e+01 3.440999999999999837e+00 8.484999999999999432e+00 8.115999999999999659e+00 9.180000000000000382e-01 2.600000000000000089e-01
3.100000000000000000e+01 3.233999999999999986e+00 8.961000000000000298e+00 8.118000000000000327e+00 9.449999999999999512e-01 2.600000000000000089e-01
3.200000000000000000e+01 2.991000000000000103e+00 9.603999999999999204e+00 8.121000000000000441e+00 9.719999999999999751e-01 2.600000000000000089e-01
3.300000000000000000e+01 2.391999999999999904e+00 1.048399999999999999e+01 8.122999999999999332e+00 9.989999999999999991e-01 2.600000000000000089e-01
3.400000000000000000e+01 1.794000000000000039e+00 1.201800000000000068e+01 8.125999999999999446e+00 1.024999999999999911e+00 2.600000000000000089e-01
3.500000000000000000e+01 1.417000000000000037e+00 1.263100000000000023e+01 8.128000000000000114e+00 1.050999999999999934e+00 2.600000000000000089e-01
3.600000000000000000e+01 1.088999999999999968e+00 1.250900000000000034e+01 8.131000000000000227e+00 1.076999999999999957e+00 2.600000000000000089e-01
3.700000000000000000e+01 7.650000000000000133e-01 1.269599999999999973e+01 8.134000000000000341e+00 1.102000000000000091e+00 2.600000000000000089e-01
3.800000000000000000e+01 4.390000000000000013e-01 1.331700000000000017e+01 8.137000000000000455e+00 1.127000000000000002e+00 2.600000000000000089e-01
3.900000000000000000e+01 7.000000000000000666e-02 1.402599999999999980e+01 8.140000000000000568e+00 1.151999999999999913e+00 2.600000000000000089e-01
4.000000000000000000e+01 -4.200000000000000261e-02 1.465199999999999925e+01 8.143000000000000682e+00 1.175999999999999934e+00 2.600000000000000089e-01
4.100000000000000000e+01 -4.200000000000000261e-02 1.525300000000000011e+01 8.146000000000000796e+00 1.199999999999999956e+00 2.600000000000000089e-01
4.200000000000000000e+01 -4.200000000000000261e-02 1.578100000000000058e+01 8.148999999999999133e+00 1.223000000000000087e+00 2.600000000000000089e-01
