Glon Glat Vlsr Dgc azimuth Dsun
3.458200000000000074e+01 3.599999999999999728e-02 7.759999999999999432e+01 5.003000000000000114e+00 3.653099999999999881e+01 5.246999999999999886e+00
3.527900000000000347e+01 1.370000000000000107e-01 7.929999999999999716e+01 5.139000000000000234e+00 3.432000000000000028e+01 5.017000000000000348e+00
3.559300000000000352e+01 1.700000000000000122e-01 8.050000000000000000e+01 5.200999999999999623e+00 3.335300000000000153e+01 4.913000000000000256e+00
3.620000000000000284e+01 9.299999999999999933e-02 7.529999999999999716e+01 5.323000000000000398e+00 3.153099999999999881e+01 4.713000000000000078e+00
3.651500000000000057e+01 -1.839999999999999969e-01 7.700000000000000000e+01 5.386000000000000121e+00 3.060900000000000176e+01 4.608999999999999986e+00
3.688600000000000279e+01 -8.400000000000000522e-02 7.900000000000000000e+01 5.461999999999999744e+00 2.954299999999999926e+01 4.487000000000000099e+00
3.752600000000000335e+01 -7.199999999999999456e-02 8.200000000000000000e+01 5.592999999999999972e+00 2.775300000000000011e+01 4.275000000000000355e+00
3.813300000000000267e+01 -2.270000000000000073e-01 8.140000000000000568e+01 5.717999999999999972e+00 2.610800000000000054e+01 4.075000000000000178e+00
3.859400000000000119e+01 -1.819999999999999951e-01 8.079999999999999716e+01 5.814000000000000057e+00 2.489199999999999946e+01 3.923000000000000043e+00
3.930199999999999960e+01 -2.929999999999999827e-01 7.620000000000000284e+01 5.961999999999999744e+00 2.307600000000000051e+01 3.689000000000000057e+00
3.968399999999999750e+01 -4.259999999999999898e-01 7.500000000000000000e+01 6.043000000000000149e+00 2.212000000000000099e+01 3.563000000000000167e+00
4.007699999999999818e+01 -3.810000000000000053e-01 7.400000000000000000e+01 6.125000000000000000e+00 2.115500000000000114e+01 3.434000000000000163e+00
4.032399999999999807e+01 -3.469999999999999751e-01 7.300000000000000000e+01 6.177999999999999936e+00 2.055600000000000094e+01 3.351999999999999869e+00
