Glon Glat Vlsr Dgc azimuth Dsun
2.000000000000000000e+00 -4.079999999999999738e-01 2.668550000000000182e+02 1.616999999999999993e+00 1.676299999999999955e+02 9.926000000000000156e+00
3.000000000000000000e+00 -4.179999999999999827e-01 2.659809999999999945e+02 1.499000000000000110e+00 1.600769999999999982e+02 9.762999999999999901e+00
4.000000000000000000e+00 -6.999999999999999556e-01 2.378089999999999975e+02 1.407000000000000028e+00 1.515749999999999886e+02 9.601000000000000867e+00
5.000000000000000000e+00 -8.529999999999999805e-01 2.078720000000000141e+02 1.344000000000000083e+00 1.422500000000000000e+02 9.438000000000000611e+00
6.000000000000000000e+00 -7.309999999999999831e-01 1.786189999999999998e+02 1.312999999999999945e+00 1.323919999999999959e+02 9.275999999999999801e+00
7.000000000000000000e+00 -7.740000000000000213e-01 1.567800000000000011e+02 1.316000000000000059e+00 1.224279999999999973e+02 9.114000000000000767e+00
8.000000000000000000e+00 -5.699999999999999512e-01 1.373019999999999925e+02 1.350999999999999979e+00 1.128139999999999930e+02 8.951000000000000512e+00
9.000000000000000000e+00 -8.659999999999999920e-01 1.230559999999999974e+02 1.415999999999999925e+00 1.039110000000000014e+02 8.788999999999999702e+00
1.000000000000000000e+01 -9.070000000000000284e-01 1.086730000000000018e+02 1.506000000000000005e+00 9.591800000000000637e+01 8.625999999999999446e+00
1.100000000000000000e+01 -8.619999999999999885e-01 8.769799999999999329e+01 1.614999999999999991e+00 8.887999999999999545e+01 8.464000000000000412e+00
