Glon Glat Vlsr Dgc azimuth Dsun
2.855210000000000150e+02 -3.499999999999999778e-01 2.608000000000000096e+00 8.202999999999999403e+00 -3.300000000000000000e+01 4.644999999999999574e+00
2.855480000000000018e+02 -3.499999999999999778e-01 2.540999999999999925e+00 8.202999999999999403e+00 -3.300000000000000000e+01 4.644999999999999574e+00
2.856050000000000182e+02 -3.599999999999999867e-01 2.398000000000000131e+00 8.202999999999999403e+00 -3.300000000000000000e+01 4.644999999999999574e+00
2.856879999999999882e+02 -3.599999999999999867e-01 2.189000000000000057e+00 8.202999999999999403e+00 -3.300000000000000000e+01 4.644999999999999574e+00
2.857959999999999923e+02 -3.599999999999999867e-01 1.917999999999999927e+00 8.202999999999999403e+00 -3.300000000000000000e+01 4.644999999999999574e+00
2.859270000000000209e+02 -3.599999999999999867e-01 1.919999999999999929e+00 8.208999999999999631e+00 -3.324000000000000199e+01 4.679000000000000270e+00
2.860790000000000077e+02 -3.699999999999999956e-01 2.451999999999999957e+00 8.226000000000000867e+00 -3.389399999999999835e+01 4.774000000000000021e+00
2.862509999999999764e+02 -3.900000000000000133e-01 3.024000000000000021e+00 8.243000000000000327e+00 -3.460000000000000142e+01 4.876000000000000334e+00
2.864409999999999741e+02 -4.000000000000000222e-01 3.624000000000000110e+00 8.262000000000000455e+00 -3.534499999999999886e+01 4.983999999999999986e+00
2.866469999999999914e+02 -4.199999999999999845e-01 4.246000000000000441e+00 8.282000000000000028e+00 -3.611899999999999977e+01 5.096000000000000085e+00
2.868700000000000045e+02 -4.500000000000000111e-01 4.889000000000000234e+00 8.303000000000000824e+00 -3.692399999999999949e+01 5.211999999999999744e+00
2.871080000000000041e+02 -4.699999999999999734e-01 5.546999999999999709e+00 8.323999999999999844e+00 -3.775200000000000244e+01 5.331999999999999851e+00
2.873600000000000136e+02 -4.899999999999999911e-01 6.214999999999999858e+00 8.346000000000000085e+00 -3.859799999999999898e+01 5.455000000000000071e+00
2.876240000000000236e+02 -5.100000000000000089e-01 6.889999999999999680e+00 8.368000000000000327e+00 -3.945600000000000307e+01 5.578999999999999737e+00
2.879010000000000105e+02 -5.400000000000000355e-01 7.573000000000000398e+00 8.390000000000000568e+00 -4.032999999999999829e+01 5.706000000000000405e+00
2.881899999999999977e+02 -5.500000000000000444e-01 8.262000000000000455e+00 8.413000000000000256e+00 -4.121800000000000352e+01 5.834999999999999964e+00
2.884900000000000091e+02 -5.500000000000000444e-01 8.954000000000000625e+00 8.435999999999999943e+00 -4.211500000000000199e+01 5.966000000000000192e+00
2.888000000000000114e+02 -5.500000000000000444e-01 9.647999999999999687e+00 8.460000000000000853e+00 -4.302100000000000080e+01 6.097000000000000419e+00
2.891200000000000045e+02 -5.400000000000000355e-01 1.034299999999999997e+01 8.483999999999999986e+00 -4.393599999999999994e+01 6.230000000000000426e+00
2.894490000000000123e+02 -5.300000000000000266e-01 1.103800000000000026e+01 8.507999999999999119e+00 -4.485699999999999932e+01 6.363999999999999879e+00
2.897869999999999777e+02 -5.200000000000000178e-01 1.173300000000000054e+01 8.532000000000000028e+00 -4.578499999999999659e+01 6.498999999999999666e+00
2.901329999999999814e+02 -5.300000000000000266e-01 1.242600000000000016e+01 8.557000000000000384e+00 -4.671900000000000119e+01 6.634999999999999787e+00
2.904870000000000232e+02 -5.600000000000000533e-01 1.311700000000000088e+01 8.582000000000000739e+00 -4.765800000000000125e+01 6.770999999999999908e+00
2.908489999999999895e+02 -5.899999999999999689e-01 1.380599999999999916e+01 8.606999999999999318e+00 -4.860399999999999920e+01 6.908999999999999808e+00
2.912180000000000177e+02 -6.099999999999999867e-01 1.449099999999999966e+01 8.631999999999999673e+00 -4.955299999999999727e+01 7.046000000000000263e+00
2.915939999999999941e+02 -6.400000000000000133e-01 1.517300000000000004e+01 8.657000000000000028e+00 -5.050800000000000267e+01 7.184999999999999609e+00
2.919759999999999991e+02 -6.800000000000000488e-01 1.584900000000000020e+01 8.682999999999999829e+00 -5.146500000000000341e+01 7.323999999999999844e+00
2.923650000000000091e+02 -7.199999999999999734e-01 1.652299999999999969e+01 8.708000000000000185e+00 -5.242799999999999727e+01 7.464000000000000412e+00
2.927599999999999909e+02 -7.600000000000000089e-01 1.719099999999999895e+01 8.733999999999999986e+00 -5.339399999999999835e+01 7.604000000000000092e+00
2.931610000000000014e+02 -7.700000000000000178e-01 1.785600000000000165e+01 8.759999999999999787e+00 -5.436399999999999721e+01 7.743999999999999773e+00
2.935670000000000073e+02 -7.299999999999999822e-01 1.851599999999999824e+01 8.787000000000000810e+00 -5.533700000000000330e+01 7.884999999999999787e+00
2.939780000000000086e+02 -6.999999999999999556e-01 1.916900000000000048e+01 8.813000000000000611e+00 -5.631099999999999994e+01 8.025999999999999801e+00
2.943949999999999818e+02 -6.500000000000000222e-01 1.981800000000000139e+01 8.839999999999999858e+00 -5.729099999999999682e+01 8.166999999999999815e+00
2.948170000000000073e+02 -6.300000000000000044e-01 2.045899999999999963e+01 8.865999999999999659e+00 -5.827300000000000324e+01 8.308999999999999275e+00
2.952440000000000282e+02 -5.999999999999999778e-01 2.109499999999999886e+01 8.893000000000000682e+00 -5.925900000000000034e+01 8.451000000000000512e+00
2.956750000000000114e+02 -5.500000000000000444e-01 2.172200000000000131e+01 8.919999999999999929e+00 -6.024600000000000222e+01 8.592999999999999972e+00
