Glon Glat Vlsr Dgc azimuth Dsun
3.065099999999999909e+02 0.000000000000000000e+00 -2.544000000000000128e+01 6.636000000000000121e+00 -4.702900000000000347e+01 6.043000000000000149e+00
3.067500000000000000e+02 0.000000000000000000e+00 -2.544000000000000128e+01 6.719999999999999751e+00 -5.070000000000000284e+01 6.480000000000000426e+00
3.070000000000000000e+02 0.000000000000000000e+00 -2.544000000000000128e+01 6.796000000000000263e+00 -5.440899999999999892e+01 6.919999999999999929e+00
3.075000000000000000e+02 0.000000000000000000e+00 -2.544000000000000128e+01 6.873999999999999666e+00 -5.791400000000000148e+01 7.341000000000000192e+00
3.080000000000000000e+02 0.000000000000000000e+00 -2.544000000000000128e+01 6.935999999999999943e+00 -6.070100000000000051e+01 7.676000000000000156e+00
3.085000000000000000e+02 0.000000000000000000e+00 -2.544000000000000128e+01 6.990999999999999659e+00 -6.312599999999999767e+01 7.967999999999999972e+00
3.090000000000000000e+02 0.000000000000000000e+00 -2.544000000000000128e+01 7.040000000000000036e+00 -6.532299999999999329e+01 8.231999999999999318e+00
3.100000000000000000e+02 0.000000000000000000e+00 -1.964999999999999858e+01 7.131000000000000227e+00 -6.927500000000000568e+01 8.707000000000000739e+00
3.110000000000000000e+02 0.000000000000000000e+00 -1.384999999999999964e+01 7.214000000000000412e+00 -7.284000000000000341e+01 9.132999999999999119e+00
3.120000000000000000e+02 0.000000000000000000e+00 -8.057999999999999829e+00 7.291000000000000369e+00 -7.614600000000000080e+01 9.525999999999999801e+00
3.130000000000000000e+02 0.000000000000000000e+00 -7.855999999999999872e+00 7.365000000000000213e+00 -7.926399999999999579e+01 9.894000000000000128e+00
3.140000000000000000e+02 0.000000000000000000e+00 -7.458000000000000185e+00 7.435999999999999943e+00 -8.223600000000000421e+01 1.024300000000000033e+01
3.150000000000000000e+02 0.000000000000000000e+00 -7.059000000000000163e+00 7.504999999999999893e+00 -8.509199999999999875e+01 1.057499999999999929e+01
3.160000000000000000e+02 0.000000000000000000e+00 -6.660000000000000142e+00 7.573000000000000398e+00 -8.785299999999999443e+01 1.089400000000000013e+01
3.170000000000000000e+02 0.000000000000000000e+00 -5.676999999999999602e+00 7.639000000000000234e+00 -9.053300000000000125e+01 1.119999999999999929e+01
3.180000000000000000e+02 0.000000000000000000e+00 -4.246000000000000441e+00 7.703000000000000291e+00 -9.314499999999999602e+01 1.149499999999999922e+01
3.190000000000000000e+02 0.000000000000000000e+00 -4.460000000000000075e-01 7.767000000000000348e+00 -9.569799999999999329e+01 1.178100000000000058e+01
3.200000000000000000e+02 0.000000000000000000e+00 3.354000000000000092e+00 7.830000000000000071e+00 -9.819799999999999329e+01 1.205700000000000038e+01
3.210000000000000000e+02 0.000000000000000000e+00 4.174000000000000377e+00 7.892999999999999794e+00 -1.006509999999999962e+02 1.232600000000000051e+01
3.220000000000000000e+02 0.000000000000000000e+00 4.956000000000000405e+00 7.955000000000000071e+00 -1.030630000000000024e+02 1.258600000000000030e+01
3.230000000000000000e+02 0.000000000000000000e+00 5.738999999999999879e+00 8.016000000000000014e+00 -1.054369999999999976e+02 1.283900000000000041e+01
3.240000000000000000e+02 0.000000000000000000e+00 6.520999999999999908e+00 8.076999999999999957e+00 -1.077770000000000010e+02 1.308500000000000085e+01
3.250000000000000000e+02 0.000000000000000000e+00 7.304000000000000270e+00 8.137000000000000455e+00 -1.100859999999999985e+02 1.332399999999999984e+01
3.260000000000000000e+02 0.000000000000000000e+00 9.269999999999999574e+00 8.198000000000000398e+00 -1.123649999999999949e+02 1.355700000000000038e+01
3.270000000000000000e+02 0.000000000000000000e+00 9.891000000000000014e+00 8.257999999999999119e+00 -1.146179999999999950e+02 1.378400000000000070e+01
3.294340000000000259e+02 0.000000000000000000e+00 4.227000000000000313e+00 8.403000000000000469e+00 -1.200000000000000000e+02 1.431000000000000050e+01
3.298929999999999723e+02 0.000000000000000000e+00 4.557999999999999829e+00 8.429999999999999716e+00 -1.210000000000000000e+02 1.440499999999999936e+01
3.303539999999999850e+02 0.000000000000000000e+00 4.876000000000000334e+00 8.457000000000000739e+00 -1.220000000000000000e+02 1.450000000000000000e+01
3.308170000000000073e+02 0.000000000000000000e+00 5.182000000000000384e+00 8.484999999999999432e+00 -1.230000000000000000e+02 1.459299999999999997e+01
3.312819999999999823e+02 0.000000000000000000e+00 5.475999999999999979e+00 8.512000000000000455e+00 -1.240000000000000000e+02 1.468599999999999994e+01
3.317490000000000236e+02 0.000000000000000000e+00 5.756000000000000227e+00 8.539999999999999147e+00 -1.250000000000000000e+02 1.477899999999999991e+01
3.322180000000000177e+02 0.000000000000000000e+00 6.024000000000000021e+00 8.567000000000000171e+00 -1.260000000000000000e+02 1.486999999999999922e+01
3.326879999999999882e+02 0.000000000000000000e+00 6.278999999999999915e+00 8.595000000000000639e+00 -1.270000000000000000e+02 1.496000000000000085e+01
3.331610000000000014e+02 0.000000000000000000e+00 6.520999999999999908e+00 8.622999999999999332e+00 -1.280000000000000000e+02 1.505000000000000071e+01
3.336349999999999909e+02 0.000000000000000000e+00 6.751000000000000334e+00 8.650999999999999801e+00 -1.290000000000000000e+02 1.513899999999999935e+01
3.341109999999999900e+02 0.000000000000000000e+00 6.966999999999999638e+00 8.679000000000000270e+00 -1.300000000000000000e+02 1.522700000000000031e+01
3.345889999999999986e+02 0.000000000000000000e+00 7.169999999999999929e+00 8.707000000000000739e+00 -1.310000000000000000e+02 1.531400000000000006e+01
3.350690000000000168e+02 0.000000000000000000e+00 7.358999999999999986e+00 8.734999999999999432e+00 -1.320000000000000000e+02 1.540000000000000036e+01
3.355509999999999877e+02 0.000000000000000000e+00 7.535999999999999588e+00 8.762999999999999901e+00 -1.330000000000000000e+02 1.548499999999999943e+01
3.360339999999999918e+02 0.000000000000000000e+00 7.698999999999999844e+00 8.791999999999999815e+00 -1.340000000000000000e+02 1.557000000000000028e+01
3.365190000000000055e+02 0.000000000000000000e+00 7.847999999999999865e+00 8.820000000000000284e+00 -1.350000000000000000e+02 1.565300000000000047e+01
3.370059999999999718e+02 0.000000000000000000e+00 7.983999999999999986e+00 8.849000000000000199e+00 -1.360000000000000000e+02 1.573600000000000065e+01
3.374940000000000282e+02 0.000000000000000000e+00 8.106999999999999318e+00 8.878000000000000114e+00 -1.370000000000000000e+02 1.581700000000000017e+01
3.379839999999999804e+02 0.000000000000000000e+00 8.215999999999999304e+00 8.906000000000000583e+00 -1.380000000000000000e+02 1.589799999999999969e+01
3.384759999999999991e+02 0.000000000000000000e+00 8.310999999999999943e+00 8.935000000000000497e+00 -1.390000000000000000e+02 1.597799999999999976e+01
3.389700000000000273e+02 0.000000000000000000e+00 8.391999999999999460e+00 8.964000000000000412e+00 -1.400000000000000000e+02 1.605600000000000094e+01
3.394649999999999750e+02 0.000000000000000000e+00 8.460000000000000853e+00 8.993000000000000327e+00 -1.410000000000000000e+02 1.613400000000000034e+01
3.399619999999999891e+02 0.000000000000000000e+00 8.512999999999999901e+00 9.022000000000000242e+00 -1.420000000000000000e+02 1.621099999999999852e+01
3.404599999999999795e+02 0.000000000000000000e+00 8.553000000000000824e+00 9.051999999999999602e+00 -1.430000000000000000e+02 1.628699999999999903e+01
3.409599999999999795e+02 0.000000000000000000e+00 8.579000000000000625e+00 9.080999999999999517e+00 -1.440000000000000000e+02 1.636199999999999832e+01
3.414619999999999891e+02 0.000000000000000000e+00 8.589999999999999858e+00 9.109999999999999432e+00 -1.450000000000000000e+02 1.643599999999999994e+01
3.419649999999999750e+02 0.000000000000000000e+00 8.587999999999999190e+00 9.140000000000000568e+00 -1.460000000000000000e+02 1.650799999999999912e+01
3.424700000000000273e+02 0.000000000000000000e+00 8.571999999999999176e+00 9.169000000000000483e+00 -1.470000000000000000e+02 1.657999999999999829e+01
3.429759999999999991e+02 0.000000000000000000e+00 8.541000000000000369e+00 9.198999999999999844e+00 -1.480000000000000000e+02 1.665099999999999980e+01
3.434839999999999804e+02 0.000000000000000000e+00 8.496000000000000441e+00 9.228999999999999204e+00 -1.490000000000000000e+02 1.672100000000000009e+01
3.439940000000000282e+02 0.000000000000000000e+00 8.436999999999999389e+00 9.259000000000000341e+00 -1.500000000000000000e+02 1.678900000000000148e+01
3.445049999999999955e+02 0.000000000000000000e+00 8.364000000000000767e+00 9.288999999999999702e+00 -1.510000000000000000e+02 1.685699999999999932e+01
3.450179999999999723e+02 0.000000000000000000e+00 8.276999999999999247e+00 9.319000000000000838e+00 -1.520000000000000000e+02 1.692299999999999827e+01
3.455319999999999823e+02 0.000000000000000000e+00 8.175000000000000711e+00 9.349000000000000199e+00 -1.530000000000000000e+02 1.698900000000000077e+01
3.460480000000000018e+02 0.000000000000000000e+00 8.058999999999999275e+00 9.378999999999999559e+00 -1.540000000000000000e+02 1.705300000000000082e+01
3.465649999999999977e+02 0.000000000000000000e+00 7.927999999999999936e+00 9.410000000000000142e+00 -1.550000000000000000e+02 1.711700000000000088e+01
3.470840000000000032e+02 0.000000000000000000e+00 7.783999999999999808e+00 9.439999999999999503e+00 -1.560000000000000000e+02 1.717899999999999849e+01
3.476050000000000182e+02 0.000000000000000000e+00 7.623999999999999666e+00 9.471000000000000085e+00 -1.570000000000000000e+02 1.723999999999999844e+01
3.481270000000000095e+02 0.000000000000000000e+00 7.450999999999999623e+00 9.502000000000000668e+00 -1.580000000000000000e+02 1.730000000000000071e+01
3.486499999999999773e+02 0.000000000000000000e+00 7.262999999999999901e+00 9.532000000000000028e+00 -1.590000000000000000e+02 1.735900000000000176e+01
3.491750000000000114e+02 0.000000000000000000e+00 7.060999999999999943e+00 9.563000000000000611e+00 -1.600000000000000000e+02 1.741600000000000037e+01
3.497019999999999982e+02 0.000000000000000000e+00 6.844000000000000306e+00 9.593999999999999417e+00 -1.610000000000000000e+02 1.747299999999999898e+01
3.502300000000000182e+02 0.000000000000000000e+00 6.613000000000000433e+00 9.625000000000000000e+00 -1.620000000000000000e+02 1.752799999999999869e+01
3.507599999999999909e+02 0.000000000000000000e+00 6.366999999999999993e+00 9.657000000000000028e+00 -1.630000000000000000e+02 1.758299999999999841e+01
3.512909999999999968e+02 0.000000000000000000e+00 6.107000000000000206e+00 9.688000000000000611e+00 -1.640000000000000000e+02 1.763599999999999923e+01
3.518240000000000123e+02 0.000000000000000000e+00 5.833000000000000185e+00 9.718999999999999417e+00 -1.650000000000000000e+02 1.768799999999999883e+01
3.523580000000000041e+02 0.000000000000000000e+00 5.543999999999999595e+00 9.750999999999999446e+00 -1.660000000000000000e+02 1.773900000000000077e+01
3.528940000000000055e+02 0.000000000000000000e+00 5.240999999999999659e+00 9.782000000000000028e+00 -1.670000000000000000e+02 1.778800000000000026e+01
3.534309999999999832e+02 0.000000000000000000e+00 4.923000000000000043e+00 9.814000000000000057e+00 -1.680000000000000000e+02 1.783699999999999974e+01
3.539700000000000273e+02 0.000000000000000000e+00 4.591999999999999638e+00 9.846000000000000085e+00 -1.690000000000000000e+02 1.788400000000000034e+01
3.545099999999999909e+02 0.000000000000000000e+00 4.245000000000000107e+00 9.878000000000000114e+00 -1.700000000000000000e+02 1.792999999999999972e+01
3.550520000000000209e+02 0.000000000000000000e+00 3.884999999999999787e+00 9.910000000000000142e+00 -1.710000000000000000e+02 1.797500000000000142e+01
3.555960000000000036e+02 0.000000000000000000e+00 3.509999999999999787e+00 9.942000000000000171e+00 -1.720000000000000000e+02 1.801800000000000068e+01
3.561410000000000196e+02 0.000000000000000000e+00 3.120999999999999996e+00 9.974000000000000199e+00 -1.730000000000000000e+02 1.806099999999999994e+01
3.566879999999999882e+02 0.000000000000000000e+00 2.717000000000000082e+00 1.000600000000000023e+01 -1.740000000000000000e+02 1.810200000000000031e+01
3.572359999999999900e+02 0.000000000000000000e+00 2.299999999999999822e+00 1.003899999999999970e+01 -1.750000000000000000e+02 1.814199999999999946e+01
3.577850000000000250e+02 0.000000000000000000e+00 1.868000000000000105e+00 1.007099999999999973e+01 -1.760000000000000000e+02 1.817999999999999972e+01
3.583369999999999891e+02 0.000000000000000000e+00 1.421999999999999931e+00 1.010399999999999920e+01 -1.770000000000000000e+02 1.821799999999999997e+01
3.588899999999999864e+02 0.000000000000000000e+00 9.619999999999999662e-01 1.013700000000000045e+01 -1.780000000000000000e+02 1.825400000000000134e+01
