Glon Glat Vlsr Dgc azimuth Dsun
3.590000000000000000e+02 -1.340000000000000080e-01 -2.682499999999999929e+01 4.459999999999999964e+00 -8.209999999999999520e-01 3.661000000000000032e+00
3.580000000000000000e+02 -6.000000000000000125e-03 -3.266199999999999903e+01 4.459999999999999964e+00 -1.643000000000000016e+00 3.664000000000000146e+00
3.570000000000000000e+02 5.600000000000000117e-02 -3.641499999999999915e+01 4.459999999999999964e+00 -2.467000000000000082e+00 3.669000000000000039e+00
3.560000000000000000e+02 2.500000000000000139e-02 -3.906400000000000006e+01 4.459999999999999964e+00 -3.295999999999999819e+00 3.676000000000000156e+00
3.550000000000000000e+02 -5.000000000000000104e-03 -4.171300000000000097e+01 4.459999999999999964e+00 -4.129999999999999893e+00 3.685999999999999943e+00
3.540000000000000000e+02 -3.599999999999999728e-02 -4.436200000000000188e+01 4.459999999999999964e+00 -4.969999999999999751e+00 3.697000000000000064e+00
3.530000000000000000e+02 3.099999999999999978e-02 -4.722800000000000153e+01 4.459999999999999964e+00 -5.818999999999999950e+00 3.710999999999999854e+00
3.520000000000000000e+02 1.839999999999999969e-01 -5.017699999999999960e+01 4.459999999999999964e+00 -6.677999999999999936e+00 3.726999999999999869e+00
3.510000000000000000e+02 1.729999999999999871e-01 -5.386299999999999955e+01 4.459999999999999964e+00 -7.546999999999999709e+00 3.745000000000000107e+00
3.500000000000000000e+02 1.039999999999999952e-01 -5.810499999999999687e+01 4.459999999999999964e+00 -8.429999999999999716e+00 3.765000000000000124e+00
3.490000000000000000e+02 1.559999999999999998e-01 -6.170700000000000074e+01 4.459999999999999964e+00 -9.327999999999999403e+00 3.789000000000000146e+00
3.480000000000000000e+02 1.839999999999999969e-01 -6.514700000000000557e+01 4.459999999999999964e+00 -1.024200000000000088e+01 3.814000000000000057e+00
3.470000000000000000e+02 1.189999999999999947e-01 -6.739799999999999613e+01 4.459999999999999964e+00 -1.117600000000000016e+01 3.842999999999999972e+00
3.460000000000000000e+02 1.029999999999999943e-01 -6.958700000000000330e+01 4.459999999999999964e+00 -1.213199999999999967e+01 3.875000000000000000e+00
3.450000000000000000e+02 1.130000000000000032e-01 -7.177599999999999625e+01 4.459999999999999964e+00 -1.311299999999999955e+01 3.910000000000000142e+00
3.440000000000000000e+02 1.270000000000000018e-01 -7.388599999999999568e+01 4.459999999999999964e+00 -1.412100000000000044e+01 3.947999999999999954e+00
3.430000000000000000e+02 1.429999999999999882e-01 -7.576300000000000523e+01 4.459999999999999964e+00 -1.516099999999999959e+01 3.990000000000000213e+00
3.420000000000000000e+02 1.499999999999999944e-01 -7.887399999999999523e+01 4.459999999999999964e+00 -1.623600000000000065e+01 4.035000000000000142e+00
3.410000000000000000e+02 1.459999999999999909e-01 -8.379999999999999716e+01 4.459999999999999964e+00 -1.735099999999999909e+01 4.086000000000000298e+00
3.400000000000000000e+02 1.429999999999999882e-01 -8.872599999999999909e+01 4.459999999999999964e+00 -1.851300000000000168e+01 4.141000000000000014e+00
3.390000000000000000e+02 5.099999999999999672e-02 -8.511499999999999488e+01 4.459999999999999964e+00 -1.972700000000000031e+01 4.200999999999999623e+00
3.380000000000000000e+02 -8.599999999999999312e-02 -8.096699999999999875e+01 4.459999999999999964e+00 -2.100100000000000122e+01 4.267000000000000348e+00
3.370000000000000000e+02 5.000000000000000278e-02 -7.693699999999999761e+01 4.459999999999999964e+00 -2.234700000000000131e+01 4.339999999999999858e+00
3.360000000000000000e+02 7.499999999999999722e-02 -8.106499999999999773e+01 4.459999999999999964e+00 -2.377499999999999858e+01 4.421000000000000263e+00
3.350000000000000000e+02 7.199999999999999456e-02 -8.436899999999999977e+01 4.459999999999999964e+00 -2.530300000000000082e+01 4.509999999999999787e+00
3.340000000000000000e+02 6.900000000000000577e-02 -8.675700000000000500e+01 4.459999999999999964e+00 -2.694999999999999929e+01 4.610999999999999766e+00
3.330000000000000000e+02 -1.799999999999999864e-02 -8.874599999999999511e+01 4.459999999999999964e+00 -2.874500000000000099e+01 4.724999999999999645e+00
3.320000000000000000e+02 -8.400000000000000522e-02 -9.081499999999999773e+01 4.459999999999999964e+00 -3.073000000000000043e+01 4.854000000000000092e+00
3.310000000000000000e+02 -5.000000000000000278e-02 -9.325300000000000011e+01 4.459999999999999964e+00 -3.296399999999999864e+01 5.006000000000000227e+00
3.300000000000000000e+02 8.300000000000000433e-02 -9.442499999999999716e+01 4.459999999999999964e+00 -3.554899999999999949e+01 5.185999999999999943e+00
3.290000000000000000e+02 3.619999999999999885e-01 -9.559799999999999898e+01 4.459999999999999964e+00 -3.866700000000000159e+01 5.410000000000000142e+00
3.280000000000000000e+02 4.490000000000000102e-01 -9.595399999999999352e+01 4.459999999999999964e+00 -4.274900000000000233e+01 5.713000000000000078e+00
3.278999999999999773e+02 4.490000000000000102e-01 -9.595399999999999352e+01 4.459999999999999964e+00 -4.324799999999999756e+01 5.750000000000000000e+00
3.278000000000000114e+02 4.490000000000000102e-01 -9.595399999999999352e+01 4.459999999999999964e+00 -4.377000000000000313e+01 5.790000000000000036e+00
3.276999999999999886e+02 4.490000000000000102e-01 -9.595399999999999352e+01 4.459999999999999964e+00 -4.432000000000000028e+01 5.831000000000000405e+00
3.276000000000000227e+02 4.490000000000000102e-01 -9.595399999999999352e+01 4.459999999999999964e+00 -4.490100000000000335e+01 5.876000000000000334e+00
3.275000000000000000e+02 4.490000000000000102e-01 -9.595399999999999352e+01 4.459999999999999964e+00 -4.552000000000000313e+01 5.923000000000000043e+00
3.273999999999999773e+02 4.490000000000000102e-01 -9.595399999999999352e+01 4.459999999999999964e+00 -4.618399999999999750e+01 5.972999999999999865e+00
3.273000000000000114e+02 4.490000000000000102e-01 -9.595399999999999352e+01 4.459999999999999964e+00 -4.690100000000000335e+01 6.027999999999999581e+00
3.271999999999999886e+02 4.490000000000000102e-01 -9.595399999999999352e+01 4.459999999999999964e+00 -4.768699999999999761e+01 6.088000000000000078e+00
3.271000000000000227e+02 4.490000000000000102e-01 -9.595399999999999352e+01 4.459999999999999964e+00 -4.856199999999999761e+01 6.155999999999999694e+00
3.270000000000000000e+02 4.490000000000000102e-01 -9.595399999999999352e+01 4.459999999999999964e+00 -4.956199999999999761e+01 6.232999999999999652e+00
3.268999999999999773e+02 4.490000000000000102e-01 -9.595399999999999352e+01 4.459999999999999964e+00 -5.075200000000000244e+01 6.325000000000000178e+00
3.268000000000000114e+02 4.490000000000000102e-01 -9.595399999999999352e+01 4.459999999999999964e+00 -5.229399999999999693e+01 6.443999999999999950e+00
3.266999999999999886e+02 4.490000000000000102e-01 -9.595399999999999352e+01 4.459999999999999964e+00 -5.838700000000000045e+01 6.918000000000000149e+00
