Glon Glat Vlsr Dgc azimuth Dsun
3.000000000000000000e+00 -5.999999999999999778e-02 1.429299999999999926e+01 2.576999999999999957e+00 1.672500000000000000e+02 1.086800000000000033e+01
4.000000000000000000e+00 -5.999999999999999778e-02 1.894000000000000128e+01 2.625999999999999890e+00 1.631999999999999886e+02 1.088000000000000078e+01
5.000000000000000000e+00 -5.999999999999999778e-02 2.358699999999999974e+01 2.674999999999999822e+00 1.592299999999999898e+02 1.088299999999999912e+01
6.000000000000000000e+00 -5.999999999999999778e-02 2.809400000000000119e+01 2.724000000000000199e+00 1.553400000000000034e+02 1.087500000000000000e+01
7.000000000000000000e+00 -5.999999999999999778e-02 3.251200000000000045e+01 2.774000000000000021e+00 1.515000000000000000e+02 1.085899999999999999e+01
8.000000000000000000e+00 -5.999999999999999778e-02 3.692999999999999972e+01 2.822999999999999954e+00 1.477199999999999989e+02 1.083200000000000074e+01
9.000000000000000000e+00 -5.999999999999999778e-02 4.109100000000000108e+01 2.873000000000000220e+00 1.439900000000000091e+02 1.079700000000000060e+01
1.000000000000000000e+01 -5.999999999999999778e-02 4.519599999999999795e+01 2.923000000000000043e+00 1.403000000000000114e+02 1.075200000000000067e+01
1.100000000000000000e+01 -5.999999999999999778e-02 4.929999999999999716e+01 2.972999999999999865e+00 1.366399999999999864e+02 1.069800000000000040e+01
1.200000000000000000e+01 -5.999999999999999778e-02 5.299099999999999966e+01 3.024000000000000021e+00 1.330099999999999909e+02 1.063499999999999979e+01
1.300000000000000000e+01 -5.999999999999999778e-02 5.652499999999999858e+01 3.076000000000000068e+00 1.294099999999999966e+02 1.056300000000000061e+01
1.400000000000000000e+01 -5.999999999999999778e-02 6.005899999999999750e+01 3.128000000000000114e+00 1.258299999999999983e+02 1.048199999999999932e+01
1.500000000000000000e+01 -5.999999999999999778e-02 6.359400000000000119e+01 3.180000000000000160e+00 1.222500000000000000e+02 1.039100000000000001e+01
1.600000000000000000e+01 -5.999999999999999778e-02 6.689900000000000091e+01 3.233999999999999986e+00 1.186899999999999977e+02 1.029100000000000037e+01
1.700000000000000000e+01 -5.999999999999999778e-02 6.945799999999999841e+01 3.287999999999999812e+00 1.151299999999999955e+02 1.018099999999999916e+01
1.800000000000000000e+01 -5.999999999999999778e-02 7.201699999999999591e+01 3.342999999999999972e+00 1.115699999999999932e+02 1.006099999999999994e+01
1.900000000000000000e+01 6.500000000000000222e-02 7.466800000000000637e+01 3.399999999999999911e+00 1.079899999999999949e+02 9.930999999999999162e+00
2.000000000000000000e+01 8.100000000000000255e-02 7.749599999999999511e+01 3.456999999999999851e+00 1.044000000000000057e+02 9.789999999999999147e+00
2.100000000000000000e+01 2.599999999999999881e-02 8.032299999999999329e+01 3.516000000000000014e+00 1.007900000000000063e+02 9.637999999999999901e+00
2.200000000000000000e+01 -1.000000000000000021e-02 8.315000000000000568e+01 3.576999999999999957e+00 9.712999999999999545e+01 9.474000000000000199e+00
2.300000000000000000e+01 9.199999999999999845e-02 8.571299999999999386e+01 3.638999999999999790e+00 9.343000000000000682e+01 9.297000000000000597e+00
2.400000000000000000e+01 1.509999999999999953e-01 8.778499999999999659e+01 3.704000000000000181e+00 8.967000000000000171e+01 9.105999999999999872e+00
2.500000000000000000e+01 1.340000000000000080e-01 8.985699999999999932e+01 3.821000000000000174e+00 9.000000000000000000e+01 8.974000000000000199e+00
2.600000000000000000e+01 1.200000000000000025e-02 9.205899999999999750e+01 3.865000000000000213e+00 8.693999999999999773e+01 8.804999999999999716e+00
2.700000000000000000e+01 6.700000000000000400e-02 9.441500000000000625e+01 3.923000000000000043e+00 8.299200000000000443e+01 8.576000000000000512e+00
2.800000000000000000e+01 8.000000000000000167e-03 9.640399999999999636e+01 3.983999999999999986e+00 7.887699999999999534e+01 8.326000000000000512e+00
2.900000000000000000e+01 -4.700000000000000011e-02 9.774399999999999977e+01 4.049000000000000377e+00 7.452899999999999636e+01 8.048999999999999488e+00
3.000000000000000000e+01 -3.300000000000000155e-02 9.908499999999999375e+01 4.121000000000000441e+00 6.984199999999999875e+01 7.735999999999999766e+00
3.100000000000000000e+01 1.130000000000000032e-01 9.954999999999999716e+01 4.201999999999999957e+00 6.460399999999999920e+01 7.371000000000000441e+00
3.110000000000000142e+01 1.130000000000000032e-01 9.954999999999999716e+01 4.211000000000000298e+00 6.403499999999999659e+01 7.330000000000000071e+00
3.119999999999999929e+01 1.130000000000000032e-01 9.954999999999999716e+01 4.219999999999999751e+00 6.345499999999999829e+01 7.288000000000000256e+00
3.130000000000000071e+01 1.130000000000000032e-01 9.954999999999999716e+01 4.230000000000000426e+00 6.286299999999999955e+01 7.245000000000000107e+00
3.139999999999999858e+01 1.130000000000000032e-01 9.954999999999999716e+01 4.238999999999999879e+00 6.225800000000000267e+01 7.200999999999999623e+00
3.150000000000000000e+01 1.130000000000000032e-01 9.954999999999999716e+01 4.248999999999999666e+00 6.164000000000000057e+01 7.155999999999999694e+00
3.160000000000000142e+01 1.130000000000000032e-01 9.954999999999999716e+01 4.259000000000000341e+00 6.100500000000000256e+01 7.110000000000000320e+00
3.169999999999999929e+01 1.130000000000000032e-01 9.954999999999999716e+01 4.269999999999999574e+00 6.035300000000000153e+01 7.062000000000000277e+00
3.180000000000000071e+01 1.130000000000000032e-01 9.954999999999999716e+01 4.280000000000000249e+00 5.968099999999999739e+01 7.011999999999999567e+00
3.189999999999999858e+01 1.130000000000000032e-01 9.954999999999999716e+01 4.291000000000000369e+00 5.898799999999999955e+01 6.959999999999999964e+00
3.200000000000000000e+01 1.930000000000000049e-01 9.901999999999999602e+01 4.302999999999999936e+00 5.826899999999999835e+01 6.905999999999999694e+00
3.210000000000000142e+01 1.930000000000000049e-01 9.901999999999999602e+01 4.315000000000000391e+00 5.752100000000000080e+01 6.849999999999999645e+00
3.220000000000000284e+01 1.930000000000000049e-01 9.901999999999999602e+01 4.328000000000000291e+00 5.673899999999999721e+01 6.791000000000000369e+00
3.229999999999999716e+01 1.930000000000000049e-01 9.901999999999999602e+01 4.341000000000000192e+00 5.591599999999999682e+01 6.727999999999999758e+00
3.239999999999999858e+01 1.930000000000000049e-01 9.901999999999999602e+01 4.355000000000000426e+00 5.504299999999999926e+01 6.661999999999999922e+00
3.250000000000000000e+01 1.930000000000000049e-01 9.901999999999999602e+01 4.371000000000000441e+00 5.410600000000000165e+01 6.589999999999999858e+00
3.260000000000000142e+01 1.930000000000000049e-01 9.901999999999999602e+01 4.386999999999999567e+00 5.308599999999999852e+01 6.511000000000000121e+00
3.270000000000000284e+01 1.930000000000000049e-01 9.901999999999999602e+01 4.405999999999999694e+00 5.194899999999999807e+01 6.421999999999999709e+00
3.279999999999999716e+01 1.930000000000000049e-01 9.901999999999999602e+01 4.427999999999999936e+00 5.063100000000000023e+01 6.318999999999999950e+00
3.289999999999999858e+01 1.930000000000000049e-01 9.901999999999999602e+01 4.455000000000000071e+00 4.896699999999999875e+01 6.187000000000000277e+00
3.300000000000000000e+01 1.930000000000000049e-01 9.874099999999999966e+01 4.506000000000000227e+00 4.592300000000000182e+01 5.943999999999999950e+00
