Glon Glat Vlsr Dgc azimuth Dsun
3.300000000000000000e+01 1.930000000000000049e-01 9.874099999999999966e+01 4.506000000000000227e+00 4.592300000000000182e+01 5.943999999999999950e+00
3.289999999999999858e+01 2.349999999999999867e-01 9.415600000000000591e+01 4.589000000000000412e+00 4.107200000000000273e+01 5.551000000000000156e+00
3.279999999999999716e+01 2.349999999999999867e-01 9.415600000000000591e+01 4.613999999999999879e+00 3.964500000000000313e+01 5.434000000000000163e+00
3.270000000000000284e+01 2.349999999999999867e-01 9.415600000000000591e+01 4.631999999999999673e+00 3.856300000000000239e+01 5.344999999999999751e+00
3.260000000000000142e+01 2.349999999999999867e-01 9.415600000000000591e+01 4.647999999999999687e+00 3.766199999999999903e+01 5.270999999999999908e+00
3.250000000000000000e+01 2.349999999999999867e-01 9.415600000000000591e+01 4.661999999999999922e+00 3.687899999999999778e+01 5.206999999999999851e+00
3.239999999999999858e+01 2.349999999999999867e-01 9.415600000000000591e+01 4.674000000000000377e+00 3.617999999999999972e+01 5.149000000000000021e+00
3.229999999999999716e+01 2.349999999999999867e-01 9.415600000000000591e+01 4.684999999999999609e+00 3.554399999999999693e+01 5.097000000000000419e+00
3.220000000000000284e+01 2.349999999999999867e-01 9.415600000000000591e+01 4.695000000000000284e+00 3.495799999999999841e+01 5.048000000000000043e+00
3.210000000000000142e+01 2.349999999999999867e-01 9.415600000000000591e+01 4.705000000000000071e+00 3.441299999999999670e+01 5.003999999999999559e+00
3.200000000000000000e+01 2.349999999999999867e-01 8.998000000000000398e+01 4.714000000000000412e+00 3.390200000000000102e+01 4.961999999999999744e+00
3.189999999999999858e+01 2.349999999999999867e-01 8.998000000000000398e+01 4.722000000000000419e+00 3.342099999999999937e+01 4.921999999999999709e+00
3.180000000000000071e+01 2.349999999999999867e-01 8.998000000000000398e+01 4.730000000000000426e+00 3.296500000000000341e+01 4.884000000000000341e+00
3.169999999999999929e+01 2.349999999999999867e-01 8.998000000000000398e+01 4.738000000000000433e+00 3.253199999999999648e+01 4.849000000000000199e+00
3.160000000000000142e+01 2.349999999999999867e-01 8.998000000000000398e+01 4.745000000000000107e+00 3.211800000000000210e+01 4.815000000000000391e+00
3.150000000000000000e+01 2.349999999999999867e-01 8.998000000000000398e+01 4.751999999999999780e+00 3.172100000000000009e+01 4.782000000000000028e+00
3.139999999999999858e+01 2.349999999999999867e-01 8.998000000000000398e+01 4.759000000000000341e+00 3.133999999999999986e+01 4.751000000000000334e+00
3.130000000000000071e+01 2.349999999999999867e-01 8.998000000000000398e+01 4.766000000000000014e+00 3.097400000000000020e+01 4.721000000000000085e+00
3.119999999999999929e+01 2.349999999999999867e-01 8.998000000000000398e+01 4.772000000000000242e+00 3.062099999999999866e+01 4.692000000000000171e+00
3.110000000000000142e+01 2.349999999999999867e-01 8.998000000000000398e+01 4.777999999999999581e+00 3.027899999999999991e+01 4.663999999999999702e+00
3.100000000000000000e+01 7.599999999999999811e-02 8.474699999999999989e+01 4.783999999999999808e+00 2.994900000000000162e+01 4.636999999999999567e+00
3.000000000000000000e+01 -1.370000000000000107e-01 7.926900000000000546e+01 4.834999999999999964e+00 2.710699999999999932e+01 4.405999999999999694e+00
2.900000000000000000e+01 -1.620000000000000051e-01 7.480100000000000193e+01 4.876000000000000334e+00 2.482999999999999829e+01 4.224000000000000199e+00
2.800000000000000000e+01 -3.119999999999999996e-01 7.164900000000000091e+01 4.911999999999999922e+00 2.290099999999999980e+01 4.072000000000000064e+00
2.700000000000000000e+01 -5.590000000000000524e-01 6.849699999999999989e+01 4.950000000000000178e+00 2.112999999999999901e+01 3.931000000000000050e+00
2.600000000000000000e+01 -5.699999999999999512e-01 6.534499999999999886e+01 4.983999999999999986e+00 1.957400000000000162e+01 3.809000000000000163e+00
2.500000000000000000e+01 -3.830000000000000071e-01 6.219299999999999784e+01 5.014999999999999680e+00 1.818100000000000094e+01 3.701999999999999957e+00
2.400000000000000000e+01 -3.049999999999999933e-01 5.903999999999999915e+01 5.043000000000000149e+00 1.691600000000000037e+01 3.607000000000000206e+00
2.300000000000000000e+01 -3.750000000000000000e-01 5.588799999999999812e+01 5.067999999999999616e+00 1.575399999999999956e+01 3.521999999999999797e+00
2.200000000000000000e+01 -4.460000000000000075e-01 5.277700000000000102e+01 5.091999999999999638e+00 1.467800000000000082e+01 3.444999999999999840e+00
2.100000000000000000e+01 -5.190000000000000169e-01 5.042000000000000171e+01 5.115000000000000213e+00 1.367500000000000071e+01 3.374000000000000110e+00
2.000000000000000000e+01 -5.919999999999999707e-01 4.806400000000000006e+01 5.136000000000000121e+00 1.273300000000000054e+01 3.310000000000000053e+00
1.900000000000000000e+01 -3.549999999999999822e-01 4.570799999999999841e+01 5.155999999999999694e+00 1.184500000000000064e+01 3.250999999999999890e+00
1.800000000000000000e+01 -3.109999999999999987e-01 4.335199999999999676e+01 5.174999999999999822e+00 1.100399999999999956e+01 3.196000000000000174e+00
1.700000000000000000e+01 -3.350000000000000200e-01 4.099600000000000222e+01 5.192999999999999616e+00 1.020299999999999940e+01 3.145999999999999908e+00
1.600000000000000000e+01 -3.330000000000000182e-01 3.858599999999999852e+01 5.211000000000000298e+00 9.438000000000000611e+00 3.100000000000000089e+00
1.500000000000000000e+01 -2.000000000000000111e-01 3.617399999999999949e+01 5.227999999999999758e+00 8.705000000000000071e+00 3.056999999999999940e+00
1.400000000000000000e+01 -2.710000000000000187e-01 3.376299999999999812e+01 5.243999999999999773e+00 8.000999999999999446e+00 3.016999999999999904e+00
1.300000000000000000e+01 -2.710000000000000187e-01 3.135099999999999909e+01 5.259000000000000341e+00 7.322000000000000064e+00 2.979999999999999982e+00
1.200000000000000000e+01 -4.410000000000000031e-01 2.894000000000000128e+01 5.274000000000000021e+00 6.666999999999999815e+00 2.946000000000000174e+00
1.100000000000000000e+01 -3.320000000000000173e-01 2.652799999999999869e+01 5.288999999999999702e+00 6.033000000000000362e+00 2.914000000000000146e+00
1.000000000000000000e+01 -3.659999999999999920e-01 2.411599999999999966e+01 5.302999999999999936e+00 5.418000000000000149e+00 2.883999999999999897e+00
9.000000000000000000e+00 -5.460000000000000409e-01 2.170499999999999829e+01 5.317000000000000171e+00 4.820999999999999730e+00 2.857000000000000206e+00
8.000000000000000000e+00 -4.729999999999999760e-01 1.929299999999999926e+01 5.331000000000000405e+00 4.238999999999999879e+00 2.830999999999999961e+00
7.000000000000000000e+00 -3.230000000000000093e-01 1.688100000000000023e+01 5.344000000000000306e+00 3.670999999999999819e+00 2.807999999999999829e+00
6.000000000000000000e+00 -3.719999999999999973e-01 1.447000000000000064e+01 5.357000000000000206e+00 3.116000000000000103e+00 2.786000000000000032e+00
5.000000000000000000e+00 -3.420000000000000262e-01 1.205799999999999983e+01 5.370000000000000107e+00 2.572999999999999954e+00 2.766000000000000014e+00
4.000000000000000000e+00 -2.710000000000000187e-01 9.647000000000000242e+00 5.383000000000000007e+00 2.040000000000000036e+00 2.748000000000000220e+00
3.000000000000000000e+00 -2.710000000000000187e-01 7.235000000000000320e+00 5.394999999999999574e+00 1.518000000000000016e+00 2.730999999999999872e+00
2.000000000000000000e+00 -2.710000000000000187e-01 4.823000000000000398e+00 5.407000000000000028e+00 1.004000000000000004e+00 2.714999999999999858e+00
