Glon Glat Vlsr Dgc azimuth Dsun
3.457509999999999764e+02 0.000000000000000000e+00 -5.406199999999999761e+01 3.908999999999999808e+00 2.250000000000000000e+02 1.123000000000000043e+01
3.460260000000000105e+02 0.000000000000000000e+00 -5.284100000000000108e+01 3.919000000000000039e+00 2.240000000000000000e+02 1.127200000000000024e+01
3.463039999999999736e+02 0.000000000000000000e+00 -5.161899999999999977e+01 3.927999999999999936e+00 2.230000000000000000e+02 1.131499999999999950e+01
3.465840000000000032e+02 0.000000000000000000e+00 -5.039399999999999835e+01 3.938000000000000167e+00 2.220000000000000000e+02 1.135599999999999987e+01
3.468659999999999854e+02 0.000000000000000000e+00 -4.916700000000000159e+01 3.947000000000000064e+00 2.210000000000000000e+02 1.139700000000000024e+01
3.471510000000000105e+02 0.000000000000000000e+00 -4.793900000000000006e+01 3.956999999999999851e+00 2.200000000000000000e+02 1.143800000000000061e+01
3.474370000000000118e+02 0.000000000000000000e+00 -4.671000000000000085e+01 3.967000000000000082e+00 2.190000000000000000e+02 1.147799999999999976e+01
3.477259999999999991e+02 0.000000000000000000e+00 -4.547899999999999920e+01 3.976999999999999869e+00 2.180000000000000000e+02 1.151699999999999946e+01
3.480169999999999959e+02 0.000000000000000000e+00 -4.424799999999999756e+01 3.986000000000000210e+00 2.170000000000000000e+02 1.155499999999999972e+01
3.483109999999999786e+02 0.000000000000000000e+00 -4.301599999999999824e+01 3.995999999999999996e+00 2.160000000000000000e+02 1.159299999999999997e+01
3.486059999999999945e+02 0.000000000000000000e+00 -4.178300000000000125e+01 4.006000000000000227e+00 2.150000000000000000e+02 1.163100000000000023e+01
3.489030000000000200e+02 0.000000000000000000e+00 -4.055100000000000193e+01 4.016000000000000014e+00 2.140000000000000000e+02 1.166699999999999982e+01
3.492019999999999982e+02 0.000000000000000000e+00 -3.931799999999999784e+01 4.025999999999999801e+00 2.130000000000000000e+02 1.170299999999999940e+01
3.495029999999999859e+02 0.000000000000000000e+00 -3.808599999999999852e+01 4.035999999999999588e+00 2.120000000000000000e+02 1.173900000000000077e+01
3.498070000000000164e+02 0.000000000000000000e+00 -3.685399999999999920e+01 4.046000000000000263e+00 2.110000000000000000e+02 1.177399999999999913e+01
3.501120000000000232e+02 0.000000000000000000e+00 -3.562299999999999756e+01 4.054999999999999716e+00 2.100000000000000000e+02 1.180799999999999983e+01
3.504180000000000064e+02 0.000000000000000000e+00 -3.439300000000000068e+01 4.065000000000000391e+00 2.090000000000000000e+02 1.184099999999999930e+01
3.507269999999999754e+02 0.000000000000000000e+00 -3.316400000000000148e+01 4.075000000000000178e+00 2.080000000000000000e+02 1.187400000000000055e+01
3.510380000000000109e+02 0.000000000000000000e+00 -3.193700000000000117e+01 4.084999999999999964e+00 2.070000000000000000e+02 1.190499999999999936e+01
3.513500000000000227e+02 0.000000000000000000e+00 -3.071099999999999852e+01 4.094999999999999751e+00 2.060000000000000000e+02 1.193699999999999939e+01
3.516639999999999873e+02 0.000000000000000000e+00 -2.948699999999999832e+01 4.105000000000000426e+00 2.050000000000000000e+02 1.196700000000000053e+01
3.519789999999999850e+02 0.000000000000000000e+00 -2.826399999999999935e+01 4.115999999999999659e+00 2.040000000000000000e+02 1.199699999999999989e+01
3.522970000000000255e+02 0.000000000000000000e+00 -2.704400000000000048e+01 4.126000000000000334e+00 2.030000000000000000e+02 1.202599999999999980e+01
3.526159999999999854e+02 0.000000000000000000e+00 -2.582700000000000173e+01 4.136000000000000121e+00 2.020000000000000000e+02 1.205499999999999972e+01
3.529359999999999786e+02 0.000000000000000000e+00 -2.461100000000000065e+01 4.145999999999999908e+00 2.010000000000000000e+02 1.208200000000000074e+01
3.532590000000000146e+02 0.000000000000000000e+00 -2.339900000000000091e+01 4.155999999999999694e+00 2.000000000000000000e+02 1.210899999999999999e+01
3.535819999999999936e+02 0.000000000000000000e+00 -2.218900000000000006e+01 4.166000000000000369e+00 1.990000000000000000e+02 1.213499999999999979e+01
3.539080000000000155e+02 0.000000000000000000e+00 -2.098300000000000054e+01 4.176999999999999602e+00 1.980000000000000000e+02 1.216099999999999959e+01
3.542350000000000136e+02 0.000000000000000000e+00 -1.978000000000000114e+01 4.187000000000000277e+00 1.970000000000000000e+02 1.218599999999999994e+01
3.545629999999999882e+02 0.000000000000000000e+00 -1.857999999999999829e+01 4.197000000000000064e+00 1.960000000000000000e+02 1.220899999999999963e+01
