Glon Glat Vlsr Dgc azimuth Dsun
5.079999999999999716e+01 -1.350000000000000089e-01 5.624900000000000233e+01 6.123999999999999666e+00 4.200000000000000000e+01 5.434000000000000163e+00
5.060000000000000142e+01 -6.000000000000000125e-03 4.970499999999999829e+01 6.008000000000000007e+00 4.128399999999999892e+01 5.357999999999999652e+00
5.000000000000000000e+01 -1.899999999999999953e-02 4.668599999999999994e+01 6.008000000000000007e+00 4.128399999999999892e+01 5.357999999999999652e+00
4.900000000000000000e+01 -3.799999999999999906e-02 4.499600000000000222e+01 6.008000000000000007e+00 4.128399999999999892e+01 5.357999999999999652e+00
4.800000000000000000e+01 -3.400000000000000244e-02 4.330499999999999972e+01 6.008000000000000007e+00 4.128399999999999892e+01 5.357999999999999652e+00
4.700000000000000000e+01 -1.400000000000000029e-02 4.216799999999999926e+01 6.022999999999999687e+00 3.341299999999999670e+01 4.535000000000000142e+00
4.600000000000000000e+01 1.000000000000000021e-03 4.104299999999999926e+01 6.030000000000000249e+00 2.963100000000000023e+01 4.144000000000000128e+00
4.500000000000000000e+01 1.299999999999999940e-02 3.999399999999999977e+01 6.033999999999999808e+00 2.708399999999999963e+01 3.884999999999999787e+00
4.400000000000000000e+01 2.400000000000000050e-02 3.896600000000000108e+01 6.038000000000000256e+00 2.509799999999999898e+01 3.686999999999999833e+00
4.300000000000000000e+01 3.799999999999999906e-02 3.793900000000000006e+01 6.094999999999999751e+00 2.230799999999999983e+01 3.391999999999999904e+00
4.200000000000000000e+01 7.299999999999999545e-02 3.661999999999999744e+01 6.193999999999999950e+00 1.929899999999999949e+01 3.060000000000000053e+00
4.100000000000000000e+01 7.970000000000000417e-01 3.516400000000000148e+01 6.261000000000000121e+00 1.730300000000000082e+01 2.838000000000000078e+00
4.000000000000000000e+01 1.205000000000000071e+00 3.426899999999999835e+01 6.312999999999999723e+00 1.577100000000000080e+01 2.669000000000000039e+00
3.900000000000000000e+01 6.989999999999999547e-01 3.341199999999999903e+01 6.355000000000000426e+00 1.451800000000000068e+01 2.532000000000000028e+00
3.800000000000000000e+01 2.849999999999999756e-01 3.260300000000000153e+01 6.392000000000000348e+00 1.345500000000000007e+01 2.415999999999999925e+00
